Indicator_code,Indicator_name,indicator_description_short,indicator_description_long,scale_data,scale_display,scale_factor,number_of_decimals,symbol,Note,Source,
code,Countrycode,Countrycode,,,,,,,,,
baseyear,Year of survey data,Year of survey data,,,,,,,,,
welfaretype,"Welfare type, inc or cons","Welfare type, inc or cons",,,,,,,,,
lineupyear,Lineup year,Lineup year,,,,,,,,,
survname,Survey name,Survey name,,,,,,,,,
sample,representative areas,representative areas,,,,,,,,,
poor215_ln,"Poverty rate at $2.15 (2017 PPP, lineup est. of YYYY)","Poverty headcount ratio at $2.15 (2017 PPP, lineup est. of YYYY) (% of population) ","% of population living in households with consumption or income per person below the $2.15 poverty line at 2017 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.",0 - 1,percent,100,2,%,YYYY is the lineup year,"World Bank, Poverty Global Practice",
poor365_ln,"Poverty rate at $3.65 (2017 PPP, lineup est. of YYYY)","Poverty headcount ratio at $3.65 (2017 PPP, lineup est. of YYYY) (% of population)","% of population living in households with consumption or income per person below the $3.65 poverty line at 2017 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.",0 - 1,percent,100,2,%,YYYY is the lineup year,"World Bank, Poverty Global Practice",
poor685_ln,"Poverty rate at $6.85 (2017 PPP, lineup est. of YYYY)","Poverty headcount ratio at $6.85 (2017 PPP, lineup est. of YYYY) (% of population)","% of population living in households with consumption or income per person below the $6.85 poverty line at 2017 international prices. As a result of revisions in PPP exchange rates, poverty rates for individual countries cannot be compared with poverty rates reported in earlier editions.",0 - 1,percent,100,2,%,YYYY is the lineup year,"World Bank, Poverty Global Practice",
prosgap2017,"Prosperity gap (2017 PPP, lineup est. of YYYY)",Average shortfall lineup estimate from a prosperity standard of $25/day,The average shortfall lineup estimate from a prosperity standard of $25 per day (lineup estimate and adjusted for differences in purchasing power parity across countries). It is measured as the average factor by which incomes fall short of $25.,,,1,2,,YYYY is the lineup year,"World Bank, Poverty Global Practice",
